Kennziffer;Raumeinheit;Aggregat;Baulandpreise;Veränderung Baulandpreise;Baulandumsatz
;;;2016/2017;2012/2013-2016/2017;2015/2016
16063;Wartburgkreis;Landkreis;24,2;0,7;29,3
16064;Unstrut-Hainich-Kreis;Landkreis;33,5;7,2;31,6
16065;Kyffhäuserkreis;Landkreis;19,9;2,6;18,2
16066;Schmalkalden-Meiningen;Landkreis;27,8;1,2;34,8
16067;Gotha;Landkreis;35,0;7,8;26,2
16068;Sömmerda;Landkreis;31,9;9,4;20,4
16069;Hildburghausen;Landkreis;24,6;6,5;22,2
16070;Ilm-Kreis;Landkreis;30,5;-10,5;56,1
16071;Weimarer Land;Landkreis;42,5;11,3;45,6
16072;Sonneberg;Landkreis;22,3;3,8;26,1
16073;Saalfeld-Rudolstadt;Landkreis;35,1;7,1;24,7
16074;Saale-Holzland-Kreis;Landkreis;39,1;2,0;52,0
16075;Saale-Orla-Kreis;Landkreis;19,5;5,0;17,8
16076;Greiz;Landkreis;23,8;0,1;12,8
16077;Altenburger Land;Landkreis;20,3;5,6;8,1
